hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-1017,5473.0,-0.2151698522254552,0.93,0.87,4.53,0.04,2.95,2.7419847077232276,16.8623753,1,14.1153,,1,0,0,False
Kepler-955,5350.0,-0.2851364498240356,0.89,0.84,4.54,0.02,4.37,2.740665011128231,7.8927638,1,14.6273,,1,0,0,False
Kepler-964,5427.0,-0.2603122915910446,0.93,0.84,4.55,0.03,1.91,2.657654269342404,0.9002824,1,13.9025,,1,0,0,False
Kepler-970,4511.0,-0.7778692362402178,0.7,0.67,4.64,-0.08,4.68,2.5205424827418197,3.2455154,2,14.8058,,1,0,0,False
Kepler-959,6848.93,0.73752,1.48,1.66023,4.16799,0.0327,,2.9072656756928685,0.9648152,1,12.466,,1,0,0,False
Kepler-1051,6675.0,0.7267871363713296,1.43,1.73,4.12,0.04,1.74,2.918734183383755,6.2998912,1,13.1159,,1,0,0,False
Kepler-971,5513.7,-0.29873,0.97,0.776967,4.64403,0.173,,2.5295868980377954,3.5598258,1,13.2181,,1,0,0,False
Kepler-950,5857.0,0.04079108960296288,1.02,1.02,4.44,0.02,3.8,3.3347753316779554,6.6603552,1,15.6813,,1,0,0,False
Kepler-996,5830.38,0.24247,1.05,1.29567,4.23427,0.2383,,3.0851406725896418,7.4285545,1,14.6387,,1,0,0,False
Kepler-1029,5030.0,-0.4678567594640392,0.82,0.77,4.58,0.01,4.07,2.5642587962334997,21.2337144,1,14.3009,,1,0,0,False
Kepler-948,5679.0,-0.08376696809947845,0.96,0.94,4.47,-0.02,4.17,2.938528230860702,7.4540634,1,14.7858,,1,0,0,False
Kepler-1057,5987.0,0.14451225286647673,1.07,1.1,4.38,0.01,3.09,3.079839427017347,10.7249649,1,15.6076,,1,0,0,False
Kepler-1059,4906.0,-0.5695349816887081,0.75,0.72,4.61,-0.15,5.37,2.8531912390890155,6.6273246,1,15.4894,,1,0,0,False
Kepler-965,5886.0,0.15356656172887925,1.05,1.15,4.33,0.03,5.5,2.7655404078086416,6.928403,1,13.3334,,1,0,0,False
Kepler-952,5730.0,-0.023221272968052955,1.0,0.99,4.45,0.06,4.27,3.1153608453944126,13.9569855,1,15.1882,,1,0,0,False
Kepler-1048,4651.0,-0.6867287119581331,0.75,0.7,4.62,0.01,3.98,2.74507947818787,11.0618722,1,14.8444,,1,0,0,False
Kepler-988,4005.0,-1.1881483291501085,0.55,0.53,4.73,-0.32,3.16,2.484141755865944,18.9163137,1,15.2131,,1,0,0,False
Kepler-977,5315.0,-0.3069408898433025,0.87,0.83,4.55,-0.01,4.57,2.754922173259191,24.5381936,1,14.8235,,1,0,0,False
